R324A150149 ,"Publications
Journal article, monograph, or newsletter
McDermott, J. M., Pears, K. C., Bruce, J., Kim, H. K., Roos, L., Yoerger, K. L., and Fisher, P. A. (2017). Improving Kindergarten Readiness in Children with Developmental Disabilities: Changes in Neural Correlates of Response Monitoring. Applied Neuropsychology: Child: 1–13. doi:10.1080/21622965.2017.1286239",https://ies.ed.gov/funding/grantsearch/details.asp?ID=1608
R305A200355,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=4481
R324A170021,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=1977
R324A190177,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=3293
R305A130612,"Publications
Book chapter
Greenfield D.B. (2015). Assessment in Early Childhood Science Education. Research in Early Childhood Science Education (pp. 353–380).",https://ies.ed.gov/funding/grantsearch/details.asp?ID=1453
R324A150171,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=1614
R324A170152,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=2039
R324A180186,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=2120
R324A170135,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=2002
R324A150152  ,"Publications
Book chapter
Johnson, E. S. & Beymer, L. L. (2016). Special education teacher candidate evaluation: Creating a preservice to master teacher observation system. In J. Goeke & K. Kossars Special Education Teacher Preparation, 325T OSEP Program.
Journal article, monograph, or newsletter
Johnson, E. S., Ford, J. W., Crawford, A., & Moylan, L. A. (2016). Issues in Evaluating Special Education Teachers: Challenges and Current Perspectives. Texas Education Review, 4(1): 71–83. Retrieved from https://repositories.lib.utexas.edu/bitstream/handle/2152/45928/Johnson_Issue_Evaluating_Special_Ed_Teachers_TxEdRe.pdf?sequence=1.  Full text",https://ies.ed.gov/funding/grantsearch/details.asp?ID=1629
R324A170071,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=2000
R324A170052 ,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=2040
R324A180192,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=2164
ED07CO0043,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=531
R324A180202,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=2119
R305A140479,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=1530
R305A180037,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=2178
R305L160013,NA,https://ies.ed.gov/funding/grantsearch/details.asp?ID=1831
